iteration,alive,infected,recovered,dead
172,314,0,0,3154
173,314,0,0,3154
174,314,0,0,3154
175,314,0,0,3154
176,314,0,0,3154
177,314,0,0,3154
178,314,0,0,3154
179,314,0,0,3154
180,314,0,0,3154
181,314,0,0,3154
182,314,0,0,3154
183,313,1,0,3154
184,313,1,0,3154
185,313,1,0,3154
186,313,1,0,3154
187,313,1,0,3154
188,313,1,0,3154
189,313,1,0,3154
190,313,1,0,3154
191,313,1,0,3154
192,313,1,0,3154
193,313,1,0,3154
194,313,1,0,3154
195,313,1,0,3154
196,313,1,0,3154
197,313,1,0,3154
198,313,1,0,3154
199,313,1,0,3154
200,313,1,0,3154
201,313,1,0,3154
202,313,1,0,3154
203,312,2,0,3154
204,312,2,0,3154
205,312,2,0,3154
206,312,2,0,3154
207,312,2,0,3154
208,312,2,0,3154
209,312,2,0,3154
210,312,2,0,3154
211,312,2,0,3154
212,312,2,0,3154
213,312,2,0,3154
214,312,2,0,3154
215,312,2,0,3154
216,312,2,0,3154
217,312,2,0,3154
218,312,2,0,3154
219,312,2,0,3154
220,312,2,0,3154
221,312,2,0,3154
222,311,3,0,3154
223,311,3,0,3154
224,311,3,0,3154
225,311,3,0,3154
226,311,3,0,3154
227,311,3,0,3154
228,311,3,0,3154
229,311,3,0,3154
230,311,3,0,3154
231,311,3,0,3154
232,311,3,0,3154
233,311,3,0,3154
234,311,3,0,3154
235,311,3,0,3154
236,311,3,0,3154
237,311,3,0,3154
238,311,3,0,3154
239,311,3,0,3154
240,311,3,0,3154
241,311,3,0,3154
242,311,3,0,3154
243,311,3,0,3154
244,311,3,0,3154
245,311,3,0,3154
246,311,3,0,3154
247,311,3,0,3154
248,311,3,0,3154
249,311,3,0,3154
250,311,3,0,3154
251,311,3,0,3154
252,311,3,0,3154
253,311,3,0,3154
254,311,3,0,3154
255,312,3,0,3153
256,312,3,0,3153
257,312,3,0,3153
258,312,3,0,3153
259,312,3,0,3153
260,312,3,0,3153
261,312,3,0,3153
262,312,3,0,3153
263,312,3,0,3153
264,312,3,0,3153
265,312,3,0,3153
266,312,3,0,3153
267,312,3,0,3153
268,313,3,0,3152
269,313,3,0,3152
270,313,3,0,3152
271,313,3,0,3152
272,313,3,0,3152
273,313,3,0,3152
274,313,3,0,3152
275,313,3,0,3152
276,313,3,0,3152
277,313,3,0,3152
278,313,3,0,3152
279,314,3,0,3151
280,314,3,0,3151
281,314,3,0,3151
282,314,3,0,3151
283,314,3,0,3151
284,314,3,0,3151
285,314,3,0,3151
286,314,3,0,3151
287,315,3,0,3150
288,315,3,0,3150
289,315,3,0,3150
290,315,3,0,3150
291,315,3,0,3150
292,315,3,0,3150
293,315,3,0,3150
294,315,3,0,3150
295,315,3,0,3150
296,315,3,0,3150
297,315,3,0,3150
298,315,3,0,3150
299,315,3,0,3150
300,315,3,0,3150
301,315,3,0,3150
302,315,3,0,3150
303,315,3,0,3150
304,316,3,0,3149
305,316,3,0,3149
306,316,3,0,3149
307,316,3,0,3149
308,316,3,0,3149
309,316,3,0,3149
310,316,3,0,3149
311,316,3,0,3149
312,316,3,0,3149
313,316,3,0,3149
314,316,3,0,3149
315,316,3,0,3149
316,316,3,0,3149
317,316,3,0,3149
318,316,3,0,3149
319,316,3,0,3149
320,316,3,0,3149
321,316,3,0,3149
322,316,3,0,3149
323,316,3,0,3149
324,316,3,0,3149
325,316,3,0,3149
326,316,3,0,3149
327,316,3,0,3149
328,316,3,0,3149
329,316,3,0,3149
330,316,3,0,3149
331,316,3,0,3149
332,316,3,0,3149
333,316,3,0,3149
334,316,3,0,3149
335,316,3,0,3149
336,316,3,0,3149
337,316,3,0,3149
338,316,3,0,3149
339,316,3,0,3149
340,316,3,0,3149
341,316,3,0,3149
342,316,3,0,3149
343,316,3,0,3149
344,316,3,0,3149
345,316,3,0,3149
346,316,3,0,3149
347,316,3,0,3149
348,316,3,0,3149
349,316,3,0,3149
350,316,3,0,3149
351,316,3,0,3149
352,316,3,0,3149
353,316,3,0,3149
354,316,3,0,3149
355,316,3,0,3149
356,316,3,0,3149
357,316,3,0,3149
358,316,3,0,3149
359,316,3,0,3149
360,316,3,0,3149
361,316,3,0,3149
362,316,3,0,3149
363,316,3,0,3149
364,316,3,0,3149
365,316,3,0,3149
366,316,3,0,3149
367,316,3,0,3149
368,316,3,0,3149
369,316,3,0,3149
370,316,3,0,3149
371,316,3,0,3149
372,316,3,0,3149
373,316,3,0,3149
374,316,3,0,3149
375,316,3,0,3149
376,316,3,0,3149
377,302,5,0,3161
378,282,8,0,3178
379,288,8,1,3172
380,291,7,2,3170
381,297,5,4,3166
382,309,5,6,3154
383,319,5,4,3144
384,304,6,3,3158
385,297,7,3,3164
386,306,6,3,3156
387,294,4,3,3170
388,287,3,2,3178
389,297,4,0,3167
390,293,3,2,3172
391,277,4,2,3187
392,280,8,2,3180
393,297,9,1,3162
394,282,10,2,3176
395,326,11,4,3131
396,309,11,6,3148
397,331,11,9,3126
398,339,15,6,3114
399,364,14,7,3090
400,340,13,10,3115
401,327,19,7,3122
402,349,19,10,3100
403,340,21,7,3107
404,348,19,10,3101
405,319,18,11,3131
406,323,18,9,3127
407,316,19,8,3133
408,286,23,8,3159
409,296,22,10,3150
410,291,21,9,3156
411,291,19,10,3158
412,286,24,8,3158
413,321,25,9,3122
414,319,27,9,3122
415,353,27,12,3088
416,343,29,10,3096
417,326,29,14,3113
418,356,25,16,3087
419,340,37,8,3091
420,348,34,11,3086
421,393,30,16,3045
422,376,31,18,3061
423,343,32,17,3093
424,346,37,16,3085
425,343,42,20,3083
426,371,37,20,3060
427,320,36,18,3112
428,305,34,20,3129
429,318,35,21,3115
430,314,40,20,3114
431,301,39,17,3128
432,321,34,22,3113
433,320,36,20,3112
434,292,42,17,3134
435,298,38,21,3132
436,303,45,17,3120
437,301,44,19,3123
438,299,45,18,3124
439,324,45,21,3099
440,301,48,18,3119
441,348,51,23,3069
442,322,60,18,3086
443,343,61,23,3064
444,337,67,26,3064
445,331,61,28,3076
446,347,64,24,3057
447,357,71,25,3040
448,404,68,35,2996
449,354,73,32,3041
450,357,79,39,3032
451,349,77,41,3042
452,379,86,39,3003
453,350,92,38,3026
454,354,88,46,3026
455,396,80,52,2992
456,390,81,38,2997
457,409,76,42,2983
458,412,67,44,2989
459,443,65,35,2960
460,412,66,32,2990
461,388,64,36,3016
462,411,64,36,2993
463,408,72,38,2988
464,389,82,32,2997
465,431,85,36,2952
466,375,105,30,2988
467,379,99,39,2990
468,411,103,43,2954
469,361,102,50,3005
470,399,98,50,2971
471,387,97,52,2984
472,410,98,49,2960
473,401,99,48,2968
474,412,108,43,2948
475,432,113,56,2923
476,423,128,60,2917
477,428,132,65,2908
478,471,121,76,2876
479,463,115,71,2890
480,486,113,66,2869
481,509,111,61,2848
482,485,119,62,2864
483,480,115,54,2873
484,517,117,62,2834
485,461,111,53,2896
486,498,113,64,2857
487,452,115,65,2901
488,463,107,56,2898
489,416,109,46,2943
490,446,104,55,2918
491,418,110,58,2940
492,419,112,63,2937
493,401,110,58,2957
494,401,108,45,2959
495,411,110,50,2947
496,396,124,48,2948
497,420,127,50,2921
498,404,121,50,2943
499,424,135,53,2909
500,420,138,59,2910
501,397,137,65,2934
502,410,125,76,2933
503,424,120,69,2924
504,446,115,65,2907
505,436,119,56,2913
506,464,123,64,2881
507,470,125,63,2873
508,481,131,65,2856
509,418,151,61,2899
510,433,150,63,2885
511,456,149,63,2863
512,461,148,70,2859
513,451,143,75,2874
514,446,160,65,2862
515,445,175,66,2848
516,423,184,65,2861
517,412,182,69,2874
518,435,182,77,2851
519,449,178,86,2841
520,453,186,82,2829
521,488,166,103,2814
522,483,160,94,2825
523,437,153,85,2878
524,511,149,83,2808
525,476,157,80,2835
526,481,144,87,2843
527,531,149,90,2788
528,461,152,84,2855
529,541,147,95,2780
530,497,160,83,2811
531,542,164,87,2762
532,517,169,78,2782
533,547,165,77,2756
534,524,166,78,2778
535,513,169,78,2786
536,553,173,91,2742
537,504,183,94,2781
538,535,170,113,2763
539,538,169,106,2761
540,541,168,85,2759
541,571,166,86,2731
542,579,162,89,2727
543,569,189,76,2710
544,613,174,88,2681
545,570,181,81,2717
546,601,176,89,2691
547,530,185,83,2753
548,577,187,86,2704
549,556,205,79,2707
550,549,213,93,2706
551,571,213,87,2684
552,571,219,87,2678
553,566,226,90,2676
554,582,225,100,2661
555,634,214,107,2620
556,595,225,117,2648
557,633,214,119,2621
558,586,218,110,2664
559,632,238,99,2598
560,623,246,103,2599
561,653,250,121,2565
562,664,246,122,2558
563,644,268,114,2556
564,614,274,108,2580
565,630,280,114,2558
566,661,289,122,2518
567,641,294,129,2533
568,575,302,131,2591
569,603,290,145,2575
570,661,280,152,2527
571,653,296,144,2519
572,642,289,158,2537
573,684,262,176,2522
574,705,253,164,2510
575,640,277,156,2551
576,698,274,154,2496
577,693,276,141,2499
578,717,280,138,2471
579,713,272,145,2483
580,641,273,135,2554
581,658,268,138,2542
582,705,282,142,2481
583,687,284,143,2497
584,724,276,138,2468
585,737,286,148,2445
586,729,260,152,2479
587,719,268,142,2481
588,694,275,131,2499
589,707,280,132,2481
590,725,278,124,2465
591,773,283,138,2412
592,661,293,123,2514
593,722,296,135,2450
594,732,309,141,2427
595,684,319,131,2465
596,692,333,115,2443
597,699,343,128,2426
598,736,356,150,2376
599,675,362,155,2431
600,735,354,164,2379
601,738,360,162,2370
602,747,375,153,2346
603,763,366,160,2339
604,762,371,176,2335
605,767,371,176,2330
606,734,385,181,2349
607,757,377,196,2334
608,745,377,195,2346
609,791,374,193,2303
610,788,369,199,2311
611,845,344,206,2279
612,763,368,185,2337
613,806,366,199,2296
614,792,377,196,2299
615,808,378,191,2282
616,851,358,207,2259
617,824,376,187,2268
618,855,381,194,2232
619,779,404,186,2285
620,796,392,199,2280
621,842,388,196,2238
622,819,400,206,2249
623,813,399,202,2256
624,817,413,185,2238
625,885,397,205,2186
626,769,417,192,2282
627,857,384,207,2227
628,870,399,202,2199
629,895,408,190,2165
630,877,420,186,2171
631,811,422,190,2235
632,846,417,190,2205
633,820,437,180,2211
634,894,428,194,2146
635,917,428,207,2123
636,858,430,191,2180
637,894,434,209,2140
638,851,407,208,2210
639,909,420,209,2139
640,873,431,205,2164
641,856,461,188,2151
642,849,445,212,2174
643,873,443,208,2152
644,856,456,180,2156
645,826,486,184,2156
646,864,489,209,2115
